CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Churn,Predicted_Churn,Churn_Probability
12346,320,12,77556.46,4,Average Buyers,1,1,1.0
12347,34,7,5408.5,1,Potential Loyalists,1,1,1.0
12348,70,5,2019.4,1,Potential Loyalists,1,1,1.0
12349,13,4,4428.69,1,Potential Loyalists,1,1,1.0
12350,305,1,334.4,0,At-Risk Customers,1,1,0.9624898748478431
12351,370,1,300.93,0,At-Risk Customers,1,1,0.9553243419680245
12352,31,10,2849.84,1,Potential Loyalists,1,1,1.0
12353,199,2,406.76,1,Potential Loyalists,1,1,1.0
12354,227,1,1079.4,1,Potential Loyalists,1,1,1.0
12355,209,2,947.61,1,Potential Loyalists,1,1,1.0
12356,17,6,6373.68,1,Potential Loyalists,1,1,1.0
12357,28,3,18287.66,1,Potential Loyalists,1,1,1.0
12358,145,4,3203.87,1,Potential Loyalists,1,1,1.0
12359,52,10,8935.94,1,Potential Loyalists,1,1,1.0
12360,47,8,4252.89,1,Potential Loyalists,1,1,1.0
12361,282,4,511.25,0,At-Risk Customers,1,1,0.9921243749370743
12362,30,10,4827.19,1,Potential Loyalists,1,1,1.0
12363,104,2,552.0,1,Potential Loyalists,1,1,1.0
12364,2,4,1313.1,1,Potential Loyalists,1,1,1.0
12365,286,2,641.38,0,At-Risk Customers,1,1,0.9878414690286611
12366,628,1,500.24,0,At-Risk Customers,0,0,0.027739874847842936
12368,623,1,917.7,0,At-Risk Customers,0,0,0.025255832294651448
12369,408,3,1791.15,0,At-Risk Customers,0,0,0.006100278551532033
12370,46,7,4320.31,1,Potential Loyalists,1,1,1.0
12371,39,5,4067.38,1,Potential Loyalists,1,1,1.0
12372,66,3,1298.04,1,Potential Loyalists,1,1,1.0
12373,306,3,1127.65,0,At-Risk Customers,1,1,0.996100278551532
12374,20,4,2989.22,1,Potential Loyalists,1,1,1.0
12375,5,2,457.5,1,Potential Loyalists,1,1,1.0
12376,384,2,503.15,0,At-Risk Customers,1,1,0.9878414690286611
12377,310,4,3426.32,0,At-Risk Customers,1,1,0.9903108048673215
12378,124,2,5416.32,1,Potential Loyalists,1,1,1.0
12379,76,4,1620.22,1,Potential Loyalists,1,1,1.0
12380,16,11,9676.3,1,Potential Loyalists,1,1,1.0
12381,28,4,1698.3,1,Potential Loyalists,1,1,1.0
12383,179,5,1850.56,1,Potential Loyalists,1,1,1.0
12384,23,2,585.27,1,Potential Loyalists,1,1,1.0
12385,374,1,1938.4,0,At-Risk Customers,1,1,0.948027587815801
12386,332,2,660.8,0,At-Risk Customers,1,1,0.9878414690286611
12387,410,1,143.94,0,At-Risk Customers,0,0,0.010749459454018307
12388,10,8,3901.11,1,Potential Loyalists,1,1,1.0
12389,397,3,1433.33,0,At-Risk Customers,1,1,0.996100278551532
12390,74,1,549.84,1,Potential Loyalists,1,1,1.0
12391,16,6,2773.42,1,Potential Loyalists,1,1,1.0
12392,586,1,234.75,0,At-Risk Customers,0,0,0.016814763203912744
12393,67,6,2399.45,1,Potential Loyalists,1,1,1.0
12394,58,2,1272.48,1,Potential Loyalists,1,1,1.0
12395,14,15,5067.27,1,Potential Loyalists,1,1,1.0
12396,669,1,931.43,0,At-Risk Customers,0,0,0.025255832294651448
12397,30,2,2409.9,1,Potential Loyalists,1,1,1.0
12398,40,1,1635.66,1,Potential Loyalists,1,1,1.0
12399,114,7,1962.3,1,Potential Loyalists,1,1,1.0
12400,409,1,205.25,0,At-Risk Customers,0,0,0.011494538484811623
12401,298,1,84.3,0,At-Risk Customers,1,1,0.972228717824033
12402,318,6,1256.9,0,At-Risk Customers,1,1,0.9892046669078772
12403,44,2,1019.36,1,Potential Loyalists,1,1,1.0
12404,677,1,63.24,0,At-Risk Customers,0,0,0.005930657930657931
12405,143,1,1710.39,1,Potential Loyalists,1,1,1.0
12406,17,5,6390.36,1,Potential Loyalists,1,1,1.0
12407,44,5,1708.12,1,Potential Loyalists,1,1,1.0
12408,27,8,4340.77,1,Potential Loyalists,1,1,1.0
12409,73,7,23419.29,1,Potential Loyalists,1,1,1.0
12410,303,3,1013.71,0,At-Risk Customers,1,1,0.996100278551532
12411,404,1,346.9,0,At-Risk Customers,1,1,0.9624898748478431
12412,69,6,2596.93,1,Potential Loyalists,1,1,1.0
12413,61,4,999.45,1,Potential Loyalists,1,1,1.0
12414,212,6,952.41,1,Potential Loyalists,1,1,1.0
12415,19,28,144458.37,4,Average Buyers,1,1,1.0
12416,651,1,202.56,0,At-Risk Customers,0,0,0.011494538484811623
12417,34,19,6447.18,1,Potential Loyalists,1,1,1.0
12418,107,4,2021.2,1,Potential Loyalists,1,1,1.0
12419,380,2,503.01,0,At-Risk Customers,1,1,0.9878414690286611
12420,58,1,600.39,1,Potential Loyalists,1,1,1.0
12421,10,6,1098.6,1,Potential Loyalists,1,1,1.0
12422,90,17,5231.8,1,Potential Loyalists,1,1,1.0
12423,95,9,2413.75,1,Potential Loyalists,1,1,1.0
12424,157,4,3340.03,1,Potential Loyalists,1,1,1.0
12425,73,2,1741.41,1,Potential Loyalists,1,1,1.0
12426,189,2,1345.21,1,Potential Loyalists,1,1,1.0
12427,16,3,1129.3,1,Potential Loyalists,1,1,1.0
12428,20,9,7956.46,1,Potential Loyalists,1,1,1.0
12429,4,8,7485.91,1,Potential Loyalists,1,1,1.0
12430,38,1,256.4,1,Potential Loyalists,1,1,1.0
12431,30,27,10857.97,4,Average Buyers,1,1,1.0
12432,37,5,5059.32,1,Potential Loyalists,1,1,1.0
12433,4,8,17942.57,1,Potential Loyalists,1,1,1.0
12434,79,3,1103.43,1,Potential Loyalists,1,1,1.0
12435,74,6,13925.93,1,Potential Loyalists,1,1,1.0
12436,94,1,509.01,1,Potential Loyalists,1,1,1.0
12437,4,38,12517.5,4,Average Buyers,1,1,0.9998230088495574
12438,9,2,2906.85,1,Potential Loyalists,1,1,1.0
12439,677,2,1158.18,0,At-Risk Customers,0,0,0.007841469028661063
12440,457,2,859.2,0,At-Risk Customers,0,0,0.007841469028661063
12441,361,1,347.1,0,At-Risk Customers,1,1,0.9624898748478431
12443,727,1,485.31,0,At-Risk Customers,0,0,0.027739874847842936
12444,16,5,5005.46,1,Potential Loyalists,1,1,1.0
12445,17,2,434.98,1,Potential Loyalists,1,1,1.0
12446,52,1,1002.31,1,Potential Loyalists,1,1,1.0
12447,238,1,476.49,1,Potential Loyalists,1,1,1.0
12448,39,1,449.45,1,Potential Loyalists,1,1,1.0
12449,17,6,4835.89,1,Potential Loyalists,1,1,1.0
12450,151,5,688.2,1,Potential Loyalists,1,1,1.0
12451,5,8,12669.88,1,Potential Loyalists,1,1,1.0
12452,11,2,430.57,1,Potential Loyalists,1,1,1.0
12453,129,1,707.09,1,Potential Loyalists,1,1,1.0
12454,51,5,16679.78,1,Potential Loyalists,1,1,1.0
12455,68,10,5879.95,1,Potential Loyalists,1,1,1.0
12456,39,3,3181.04,1,Potential Loyalists,1,1,1.0
12457,61,8,2995.91,1,Potential Loyalists,1,1,1.0
12458,66,4,1777.49,1,Potential Loyalists,1,1,1.0
12459,600,1,454.36,0,At-Risk Customers,0,0,0.02248987484784294
12460,451,1,326.65,0,At-Risk Customers,0,0,0.02248987484784294
12461,89,2,826.88,1,Potential Loyalists,1,1,1.0
12462,13,2,1189.59,1,Potential Loyalists,1,1,1.0
12463,48,4,1344.78,1,Potential Loyalists,1,1,1.0
12464,5,8,1212.05,1,Potential Loyalists,1,1,1.0
12465,12,2,742.19,1,Potential Loyalists,1,1,1.0
12466,677,1,56.73,0,At-Risk Customers,0,0,0.005930657930657931
12467,418,1,132.8,0,At-Risk Customers,0,0,0.010749459454018307
12468,182,5,3670.74,1,Potential Loyalists,1,1,1.0
12469,517,2,3070.54,0,At-Risk Customers,0,0,0.0013257575757575756
12470,684,1,211.95,0,At-Risk Customers,0,0,0.015314763203912746
12471,5,78,37725.28,4,Average Buyers,1,1,0.9998230088495574
12472,27,19,17880.59,4,Average Buyers,1,1,1.0
12473,24,5,3938.55,1,Potential Loyalists,1,1,1.0
12474,12,31,12424.45,4,Average Buyers,1,1,0.9998230088495574
12475,48,2,1149.64,1,Potential Loyalists,1,1,1.0
12476,10,23,14115.41,4,Average Buyers,1,1,1.0
12477,17,9,20276.37,1,Potential Loyalists,1,1,1.0
12479,6,1,527.2,1,Potential Loyalists,1,1,1.0
12480,23,7,5464.85,1,Potential Loyalists,1,1,1.0
12481,17,15,12361.39,1,Potential Loyalists,1,1,1.0
12482,571,29,23691.4,4,Average Buyers,0,0,0.14815634218289084
12483,12,19,5120.58,1,Potential Loyalists,1,1,1.0
12484,27,12,6370.15,1,Potential Loyalists,1,1,1.0
12485,524,1,708.1,0,At-Risk Customers,0,0,0.027739874847842936
12486,426,1,1037.28,0,At-Risk Customers,0,0,0.025255832294651448
12487,725,1,285.3,0,At-Risk Customers,0,0,0.02532434196802434
12488,4,3,1298.66,1,Potential Loyalists,1,1,1.0
12489,331,1,334.93,0,At-Risk Customers,1,1,0.9624898748478431
12490,12,20,9361.34,4,Average Buyers,1,1,1.0
12491,33,1,460.4,1,Potential Loyalists,1,1,1.0
12492,58,3,715.21,1,Potential Loyalists,1,1,1.0
12493,160,2,433.74,1,Potential Loyalists,1,1,1.0
12494,10,9,1872.87,1,Potential Loyalists,1,1,1.0
12495,635,1,357.4,0,At-Risk Customers,0,0,0.02248987484784294
12496,615,2,54.09,0,At-Risk Customers,0,0,0.006050156739811912
12497,76,3,6248.5,1,Potential Loyalists,1,1,1.0
12498,16,3,403.7,1,Potential Loyalists,1,1,1.0
12499,555,1,393.72,0,At-Risk Customers,0,0,0.02248987484784294
12500,18,19,5955.21,1,Potential Loyalists,1,1,1.0
12501,331,1,2169.39,0,At-Risk Customers,1,1,0.9442407397432386
12502,90,5,3723.87,1,Potential Loyalists,1,1,1.0
12503,579,1,1126.0,0,At-Risk Customers,0,0,0.025255832294651448
12504,13,4,779.05,1,Potential Loyalists,1,1,1.0
12505,403,1,955.2,0,At-Risk Customers,1,1,0.9552558322946516
12506,227,1,73.5,1,Potential Loyalists,1,1,1.0
12507,129,4,1844.06,1,Potential Loyalists,1,1,1.0
12508,21,2,398.27,1,Potential Loyalists,1,1,1.0
12509,279,1,176.5,0,At-Risk Customers,1,1,0.9697797624843213
12510,137,9,5178.02,1,Potential Loyalists,1,1,1.0
12511,423,1,3084.02,0,At-Risk Customers,0,0,0.011329605933228267
12512,61,2,138.03,1,Potential Loyalists,1,1,1.0
12513,107,1,612.29,1,Potential Loyalists,1,1,1.0
